,GeAuthored,SpAuthored
gyldenstolpe,0,6
géné,0,1
güldenstädt,0,4
haagner,1,1
hablizl,0,1
hachisuka,0,2
hadden,0,1
hahn,0,3
hall bp,0,1
hall r,0,1
han,1,0
hansen,1,1
harcourt,0,2
hardwicke,0,4
hargitt,1,3
harington,0,2
harper,0,1
harrap,0,1
harris jbc,0,1
harrison p,0,1
harrisson,0,1
hartert,12,147
harting,0,1
hartlaub,19,173
hartwig,0,1
harvey,0,1
hawkins,0,1
hay,0,1
heck,1,0
heine,40,20
heineken,0,1
heinroth,0,3
hekstra,0,2
heller,0,1
hellmayr,10,56
hemprich,1,13
henry,0,1
henshaw,0,2
hermann,6,19
herzog,0,1
heuglin,1,32
hilsenberg,0,1
hilty,0,2
hocking,0,2
hodgson,29,80
holandre,0,1
holböll,0,1
holdsworth,0,2
holt,0,1
holyoak,0,5
hombron,0,11
homeyer,0,2
horsfield,24,89
hosner,0,2
howell sng,0,1
humboldt,1,2
hume,2,50
humphrey,0,1
hupp,0,1
hutton fw,0,3
höfling,0,1
ihering h,0,5
ihering r,0,4
ijima,0,1
illiger,15,1
imber,0,1
indrawan,0,2
ingram w,0,1
iredale,5,3
irwin,1,1
isert,1,2
isler,7,0
isler ml,1,1
isler pr,0,1
jabouille,0,5
jackson,0,9
jacobi jd,1,1
jacome,0,1
jacquin,0,6
jacquinot,0,11
james,1,0
jameson,0,3
jardine,7,47
jarocki,3,1
jensen,0,1
jerdon,2,44
johnson aw,0,1
johnson kp,2,0
johnson nk,0,1
jones re,0,1
jordans,0,1
joseph,1,0
jouanin,0,3
jouventin,0,2
jr,0,9
junge,0,1
kaup,41,15
kelaart,0,1
kelso eh,0,1
kelso l,0,2
kemp,0,1
kemp n,0,1
kennedy,0,3
kepler,0,1
kerr,0,2
kessler,0,1
keulemans,0,1
keyserling,4,0
king,0,1
king pp,0,14
kinnear,0,4
kirwan,1,2
kittlitz,1,26
kiure,0,4
kleinschmidt o,0,4
klicka,2,1
kloss,0,10
kluk,1,0
koch,4,0
koenig af,0,1
koepcke,1,3
kollibay,0,1
krabbe,0,8
kratter,0,1
kuhl,2,23
kuroda,0,3
könig c,0,3
küster,0,2
la,1,8
lack,0,1
lacépède,11,0
lafontaine,0,1
lafresnaye,17,234
lambert,0,4
landbeck,0,17
lane,0,3
langrand,1,1
lanyon s,1,1
lanyon w,8,0
lara,0,1
latham,6,158
laubmann,0,2
laverde-r.,0,1
lawrence,0,112
lawson,0,1
laxmann,0,1
layard el,0,17
layard elc,0,2
le,2,0
leach,5,4
leadbeater,0,2
lear,0,4
lecroy,0,1
legge,3,1
lehmann,0,1
lehmberg,1,1
leisler,0,3
lembeye,0,5
lencioni-neto,0,1
lennerstedt,1,0
lentino,0,1
lepechin,0,1
lesson pa,0,3
lesson r,106,198
levaillant j,0,1
leverkühn,0,2
lewin,1,2
li g,0,1
lichtenstein aah,0,5
lichtenstein mhk,2,83
lillo,1,2
link,1,0
linnaeus,64,718
lister,0,3
ljungh,0,2
llave,1,2
loche,0,1
loddiges,0,3
longmore,0,1
longuemare,0,1
lort,0,4
loudon,1,1
louette,0,3
lovat,0,3
loveridge,0,1
lowe,2,7
lowery,3,6
lynes,1,10
lönnberg,0,4
macdonald,0,3
macgillivray w,1,1
mackworth-praed,2,4
madarász,0,4
mahood,0,1
maia,0,1
maijer,0,1
maingonnat,1,0
malherbe,3,17
manamtam,0,1
mandelli,0,2
mann cf,1,0
mann ni,1,0
mano,0,1
maout,2,0
marie,0,1
marshall aj,0,1
marshall cht,1,0
