,Rank,Order,Family,Genus,Species,BreedRegion,OrigG,SDate,SAuthors,GDate,GAuthors,DateRank,SpG
0,1,STRUTHIONIFORMES,Struthionidae,Struthio,camelus,AF,True,1758,Linnaeus,1758,Linnaeus,1,2
1,2,STRUTHIONIFORMES,Struthionidae,Struthio,molybdophanes,AF,True,1883,Reichenow,1758,Linnaeus,2,2
2,1,RHEIFORMES,Rheidae,Rhea,americana,SA,False,1758,Linnaeus,1760,Brisson,1,2
3,2,RHEIFORMES,Rheidae,Rhea,pennata,SA,True,1834,d'Orbigny,1760,Brisson,2,2
4,1,APTERYGIFORMES,Apterygidae,Apteryx,australis,AU,True,1813,Shaw,1813,Shaw,1,5
5,2,APTERYGIFORMES,Apterygidae,Apteryx,mantelli,AU,True,1852,Bartlett,1813,Shaw,3,5
6,3,APTERYGIFORMES,Apterygidae,Apteryx,rowi,AU,True,2003,Tennyson Palma Robertson Worthy Gill BJ,1813,Shaw,5,5
7,4,APTERYGIFORMES,Apterygidae,Apteryx,owenii,AU,True,1847,Gould,1813,Shaw,2,5
8,5,APTERYGIFORMES,Apterygidae,Apteryx,haastii,AU,True,1872,Potts,1813,Shaw,4,5
9,1,CASUARIIFORMES,Casuariidae,Casuarius,casuarius,AU,False,1758,Linnaeus,1760,Brisson,1,3
10,2,CASUARIIFORMES,Casuariidae,Casuarius,bennetti,AU,True,1857,Gould,1760,Brisson,2,3
11,3,CASUARIIFORMES,Casuariidae,Casuarius,unappendiculatus,AU,True,1860,Blyth,1760,Brisson,3,3
12,1,CASUARIIFORMES,Casuariidae,Dromaius,novaehollandiae,AU,False,1790,Latham,1816,Vieillot,1,1
13,1,TINAMIFORMES,Tinamidae,Tinamus,tao,SA,True,1815,Temminck,1783,Hermann,2,5
14,2,TINAMIFORMES,Tinamidae,Tinamus,solitarius,SA,False,1819,Vieillot,1783,Hermann,3,5
15,3,TINAMIFORMES,Tinamidae,Tinamus,osgoodi,SA,True,1949,Conover,1783,Hermann,5,5
16,4,TINAMIFORMES,Tinamidae,Tinamus,major,MA SA,False,1789,Gmelin JF,1783,Hermann,1,5
17,5,TINAMIFORMES,Tinamidae,Tinamus,guttatus,SA,True,1863,Pelzeln,1783,Hermann,4,5
18,1,TINAMIFORMES,Tinamidae,Nothocercus,bonapartei,MA SA,False,1867,Gray GR,1856,Bonaparte,2,3
19,2,TINAMIFORMES,Tinamidae,Nothocercus,julius,SA,False,1854,Bonaparte,1856,Bonaparte,1,3
20,3,TINAMIFORMES,Tinamidae,Nothocercus,nigrocapillus,SA,False,1867,Gray GR,1856,Bonaparte,2,3
21,1,TINAMIFORMES,Tinamidae,Crypturellus,berlepschi,SA,False,1897,Rothschild,1914,Brabourne Chubb C,17,21
22,2,TINAMIFORMES,Tinamidae,Crypturellus,cinereus,SA,False,1789,Gmelin JF,1914,Brabourne Chubb C,2,21
23,3,TINAMIFORMES,Tinamidae,Crypturellus,soui,MA SA,False,1783,Hermann,1914,Brabourne Chubb C,1,21
24,4,TINAMIFORMES,Tinamidae,Crypturellus,ptaritepui,SA,True,1945,Zimmer JT Phelps,1914,Brabourne Chubb C,21,21
25,5,TINAMIFORMES,Tinamidae,Crypturellus,obsoletus,SA,False,1815,Temminck,1914,Brabourne Chubb C,4,21
26,6,TINAMIFORMES,Tinamidae,Crypturellus,undulatus,SA,False,1815,Temminck,1914,Brabourne Chubb C,4,21
27,7,TINAMIFORMES,Tinamidae,Crypturellus,transfasciatus,SA,False,1878,Sclater PL Salvin,1914,Brabourne Chubb C,16,21
28,8,TINAMIFORMES,Tinamidae,Crypturellus,strigulosus,SA,False,1815,Temminck,1914,Brabourne Chubb C,4,21
29,9,TINAMIFORMES,Tinamidae,Crypturellus,duidae,SA,True,1938,Zimmer JT,1914,Brabourne Chubb C,20,21
30,10,TINAMIFORMES,Tinamidae,Crypturellus,erythropus,SA,False,1863,Pelzeln,1914,Brabourne Chubb C,13,21
31,11,TINAMIFORMES,Tinamidae,Crypturellus,noctivagus,SA,False,1820,zu Wied-Neuwied,1914,Brabourne Chubb C,8,21
32,12,TINAMIFORMES,Tinamidae,Crypturellus,atrocapillus,SA,False,1844,Tschudi,1914,Brabourne Chubb C,11,21
33,13,TINAMIFORMES,Tinamidae,Crypturellus,cinnamomeus,MA,False,1842,Lesson PA,1914,Brabourne Chubb C,10,21
34,14,TINAMIFORMES,Tinamidae,Crypturellus,boucardi,MA,False,1860,Sclater PL,1914,Brabourne Chubb C,12,21
35,15,TINAMIFORMES,Tinamidae,Crypturellus,kerriae,MA SA,False,1915,Chapman,1914,Brabourne Chubb C,18,21
36,16,TINAMIFORMES,Tinamidae,Crypturellus,variegatus,SA,False,1789,Gmelin JF,1914,Brabourne Chubb C,2,21
37,17,TINAMIFORMES,Tinamidae,Crypturellus,brevirostris,SA,False,1863,Pelzeln,1914,Brabourne Chubb C,13,21
38,18,TINAMIFORMES,Tinamidae,Crypturellus,bartletti,SA,False,1873,Sclater PL Salvin,1914,Brabourne Chubb C,15,21
39,19,TINAMIFORMES,Tinamidae,Crypturellus,parvirostris,SA,False,1827,Wagler,1914,Brabourne Chubb C,9,21
40,20,TINAMIFORMES,Tinamidae,Crypturellus,casiquiare,SA,False,1929,Chapman,1914,Brabourne Chubb C,19,21
41,21,TINAMIFORMES,Tinamidae,Crypturellus,tataupa,SA,False,1815,Temminck,1914,Brabourne Chubb C,4,21
42,1,TINAMIFORMES,Tinamidae,Rhynchotus,rufescens,SA,False,1815,Temminck,1825,von Spix,1,2
43,2,TINAMIFORMES,Tinamidae,Rhynchotus,maculicollis,SA,True,1867,Gray GR,1825,von Spix,2,2
44,1,TINAMIFORMES,Tinamidae,Nothoprocta,taczanowskii,SA,True,1875,Sclater PL Salvin,1873,Sclater PL Salvin,6,6
45,2,TINAMIFORMES,Tinamidae,Nothoprocta,ornata,SA,False,1867,Gray GR,1873,Sclater PL Salvin,3,6
46,3,TINAMIFORMES,Tinamidae,Nothoprocta,perdicaria,SA,False,1830,Kittlitz,1873,Sclater PL Salvin,1,6
47,4,TINAMIFORMES,Tinamidae,Nothoprocta,cinerascens,SA,False,1860,Burmeister,1873,Sclater PL Salvin,2,6
48,5,TINAMIFORMES,Tinamidae,Nothoprocta,pentlandii,SA,False,1867,Gray GR,1873,Sclater PL Salvin,3,6
49,6,TINAMIFORMES,Tinamidae,Nothoprocta,curvirostris,SA,True,1873,Sclater PL Salvin,1873,Sclater PL Salvin,5,6
50,1,TINAMIFORMES,Tinamidae,Nothura,boraquira,SA,False,1825,von Spix,1827,Wagler,2,5
51,2,TINAMIFORMES,Tinamidae,Nothura,minor,SA,False,1825,von Spix,1827,Wagler,2,5
52,3,TINAMIFORMES,Tinamidae,Nothura,darwinii,SA,True,1867,Gray GR,1827,Wagler,4,5
53,4,TINAMIFORMES,Tinamidae,Nothura,maculosa,SA,False,1815,Temminck,1827,Wagler,1,5
54,5,TINAMIFORMES,Tinamidae,Nothura,chacoensis,SA,True,1937,Conover,1827,Wagler,5,5
55,1,TINAMIFORMES,Tinamidae,Taoniscus,nanus,SA,False,1815,Temminck,1842,Gloger,1,1
56,1,TINAMIFORMES,Tinamidae,Eudromia,elegans,SA,True,1832,Geoffroy Saint-Hilaire I,1832,Geoffroy Saint-Hilaire I,1,2
57,2,TINAMIFORMES,Tinamidae,Eudromia,formosa,SA,False,1905,Lillo,1832,Geoffroy Saint-Hilaire I,2,2
58,1,TINAMIFORMES,Tinamidae,Tinamotis,pentlandii,SA,True,1837,Vigors,1837,Vigors,1,2
59,2,TINAMIFORMES,Tinamidae,Tinamotis,ingoufi,SA,True,1890,Oustalet,1837,Vigors,2,2
60,1,ANSERIFORMES,Anhimidae,Anhima,cornuta,SA,False,1766,Linnaeus,1760,Brisson,1,1
61,1,ANSERIFORMES,Anhimidae,Chauna,chavaria,SA,False,1766,Linnaeus,1811,Illiger,1,2
62,2,ANSERIFORMES,Anhimidae,Chauna,torquata,SA,False,1816,Oken,1811,Illiger,2,2
63,1,ANSERIFORMES,Anseranatidae,Anseranas,semipalmata,AU,False,1798,Latham,1828,Lesson R,1,1
64,1,ANSERIFORMES,Anatidae,Dendrocygna,viduata,AF SA,False,1766,Linnaeus,1837,Swainson,3,8
65,2,ANSERIFORMES,Anatidae,Dendrocygna,autumnalis,NA MA SA,False,1758,Linnaeus,1837,Swainson,1,8
66,3,ANSERIFORMES,Anatidae,Dendrocygna,guttata,OR AU,True,1866,Schlegel,1837,Swainson,8,8
67,4,ANSERIFORMES,Anatidae,Dendrocygna,arborea,NA,False,1758,Linnaeus,1837,Swainson,1,8
68,5,ANSERIFORMES,Anatidae,Dendrocygna,bicolor,NA MA SA AF OR,False,1816,Vieillot,1837,Swainson,4,8
69,6,ANSERIFORMES,Anatidae,Dendrocygna,eytoni,AU,False,1838,Eyton,1837,Swainson,7,8
70,7,ANSERIFORMES,Anatidae,Dendrocygna,arcuata,OR AU,False,1824,Horsfield,1837,Swainson,6,8
71,8,ANSERIFORMES,Anatidae,Dendrocygna,javanica,OR,False,1821,Horsfield,1837,Swainson,5,8
72,1,ANSERIFORMES,Anatidae,Thalassornis,leuconotus,AF,True,1838,Eyton,1838,Eyton,1,1
73,1,ANSERIFORMES,Anatidae,Cereopsis,novaehollandiae,AU,True,1801,Latham,1801,Latham,1,1
74,1,ANSERIFORMES,Anatidae,Branta,bernicla,NA EU,False,1758,Linnaeus,1769,Scopoli,1,6
75,2,ANSERIFORMES,Anatidae,Branta,ruficollis,EU,False,1769,Pallas,1769,Scopoli,3,6
76,3,ANSERIFORMES,Anatidae,Branta,sandvicensis,PO,False,1834,Vigors,1769,Scopoli,6,6
77,4,ANSERIFORMES,Anatidae,Branta,canadensis,NA,False,1758,Linnaeus,1769,Scopoli,1,6
78,5,ANSERIFORMES,Anatidae,Branta,leucopsis,EU,False,1803,Bechstein,1769,Scopoli,4,6
79,6,ANSERIFORMES,Anatidae,Branta,hutchinsii,NA,False,1832,Richardson,1769,Scopoli,5,6
80,1,ANSERIFORMES,Anatidae,Anser,indicus,EU,False,1790,Latham,1760,Brisson,7,11
81,2,ANSERIFORMES,Anatidae,Anser,canagicus,NA EU,False,1802,Sevastianov,1760,Brisson,8,11
82,3,ANSERIFORMES,Anatidae,Anser,rossii,NA,True,1861,Cassin,1760,Brisson,11,11
83,4,ANSERIFORMES,Anatidae,Anser,caerulescens,NA,False,1758,Linnaeus,1760,Brisson,1,11
84,5,ANSERIFORMES,Anatidae,Anser,anser,EU,False,1758,Linnaeus,1760,Brisson,1,11
85,6,ANSERIFORMES,Anatidae,Anser,cygnoides,EU,False,1758,Linnaeus,1760,Brisson,1,11
86,7,ANSERIFORMES,Anatidae,Anser,fabalis,EU,False,1787,Latham,1760,Brisson,6,11
87,8,ANSERIFORMES,Anatidae,Anser,brachyrhynchus,EU,True,1834,Baillon,1760,Brisson,9,11
88,9,ANSERIFORMES,Anatidae,Anser,serrirostris,EU,True,1852,Gould,1760,Brisson,10,11
89,10,ANSERIFORMES,Anatidae,Anser,albifrons,NA MA EU,False,1769,Scopoli,1760,Brisson,5,11
90,11,ANSERIFORMES,Anatidae,Anser,erythropus,EU,False,1758,Linnaeus,1760,Brisson,1,11
91,1,ANSERIFORMES,Anatidae,Coscoroba,coscoroba,SA,False,1782,Molina,1853,Reichenbach,1,1
92,1,ANSERIFORMES,Anatidae,Cygnus,atratus,AU,False,1790,Latham,1764,Garsault,4,6
93,2,ANSERIFORMES,Anatidae,Cygnus,melancoryphus,SA,False,1782,Molina,1764,Garsault,2,6
94,3,ANSERIFORMES,Anatidae,Cygnus,olor,EU,False,1789,Gmelin JF,1764,Garsault,3,6
95,4,ANSERIFORMES,Anatidae,Cygnus,buccinator,NA,True,1831,Richardson,1764,Garsault,6,6
96,5,ANSERIFORMES,Anatidae,Cygnus,columbianus,EU NA,False,1815,Ord,1764,Garsault,5,6
97,6,ANSERIFORMES,Anatidae,Cygnus,cygnus,EU,False,1758,Linnaeus,1764,Garsault,1,6
98,1,ANSERIFORMES,Anatidae,Stictonetta,naevosa,AU,False,1841,Gould,1853,Reichenbach,1,1
99,1,ANSERIFORMES,Anatidae,Hymenolaimus,malacorhynchos,AU,False,1789,Gmelin JF,1843,Gray GR,1,1
100,1,ANSERIFORMES,Anatidae,Tachyeres,patachonicus,SA,False,1831,King PP,1875,Owen,2,4
101,2,ANSERIFORMES,Anatidae,Tachyeres,pteneres,SA,False,1844,Forster JR,1875,Owen,3,4
102,3,ANSERIFORMES,Anatidae,Tachyeres,brachypterus,SA,False,1790,Latham,1875,Owen,1,4
103,4,ANSERIFORMES,Anatidae,Tachyeres,leucocephalus,SA,True,1981,Humphrey Thompson,1875,Owen,4,4
104,1,ANSERIFORMES,Anatidae,Merganetta,armata,SA,True,1842,Gould,1842,Gould,1,1
105,1,ANSERIFORMES,Anatidae,Plectropterus,gambensis,AF,False,1766,Linnaeus,1824,Stephens,1,1
106,1,ANSERIFORMES,Anatidae,Sarkidiornis,sylvicola,SA,True,1907,von Ihering H von Ihering R,1838,Eyton,2,2
107,2,ANSERIFORMES,Anatidae,Sarkidiornis,melanotos,AF OR,False,1769,Pennant,1838,Eyton,1,2
108,1,ANSERIFORMES,Anatidae,Cyanochen,cyanoptera,AF,False,1845,Rüppell,1856,Bonaparte,1,1
109,1,ANSERIFORMES,Anatidae,Alopochen,aegyptiaca,AF,False,1766,Linnaeus,1885,Stejneger,1,3
110,2,ANSERIFORMES,Anatidae,Alopochen,mauritiana,IO,False,1893,Newton E Gadow,1885,Stejneger,2,3
111,3,ANSERIFORMES,Anatidae,Alopochen,kervazoi,IO,False,1994,Cowles,1885,Stejneger,3,3
112,1,ANSERIFORMES,Anatidae,Neochen,jubata,SA,False,1825,von Spix,1918,Oberholser,1,1
113,1,ANSERIFORMES,Anatidae,Chloephaga,melanoptera,SA,False,1838,Eyton,1838,Eyton,3,5
114,2,ANSERIFORMES,Anatidae,Chloephaga,picta,SA,False,1789,Gmelin JF,1838,Eyton,2,5
115,3,ANSERIFORMES,Anatidae,Chloephaga,hybrida,SA,False,1782,Molina,1838,Eyton,1,5
116,4,ANSERIFORMES,Anatidae,Chloephaga,poliocephala,SA,True,1857,Sclater PL,1838,Eyton,4,5
117,5,ANSERIFORMES,Anatidae,Chloephaga,rubidiceps,SA,True,1861,Sclater PL,1838,Eyton,5,5
118,1,ANSERIFORMES,Anatidae,Radjah,radjah,AU,False,1828,Garnot Lesson R,1853,Reichenbach,1,1
119,1,ANSERIFORMES,Anatidae,Tadorna,tadorna,EU AF,False,1758,Linnaeus,1822,Boie F,1,6
120,2,ANSERIFORMES,Anatidae,Tadorna,ferruginea,EU,False,1764,Pallas,1822,Boie F,2,6
121,3,ANSERIFORMES,Anatidae,Tadorna,cana,AF,False,1789,Gmelin JF,1822,Boie F,3,6
122,4,ANSERIFORMES,Anatidae,Tadorna,tadornoides,AU,False,1828,Jardine Selby,1822,Boie F,5,6
123,5,ANSERIFORMES,Anatidae,Tadorna,variegata,AU,False,1789,Gmelin JF,1822,Boie F,3,6
124,6,ANSERIFORMES,Anatidae,Tadorna,cristata,EU,False,1917,Kuroda Nagamichi,1822,Boie F,6,6
125,1,ANSERIFORMES,Anatidae,Malacorhynchus,membranaceus,AU,False,1801,Latham,1831,Swainson,1,1
126,1,ANSERIFORMES,Anatidae,Salvadorina,waigiuensis,AU,True,1894,Rothschild Hartert,1894,Rothschild Hartert,1,1
127,1,ANSERIFORMES,Anatidae,Cairina,moschata,NA MA SA,False,1758,Linnaeus,1822,Fleming J,1,1
128,1,ANSERIFORMES,Anatidae,Asarcornis,scutulata,OR,False,1842,Müller S,1895,Salvadori,1,1
129,1,ANSERIFORMES,Anatidae,Pteronetta,hartlaubii,AF,False,1860,Cassin,1895,Salvadori,1,1
130,1,ANSERIFORMES,Anatidae,Aix,sponsa,NA,False,1758,Linnaeus,1828,Boie F,1,2
131,2,ANSERIFORMES,Anatidae,Aix,galericulata,EU,False,1758,Linnaeus,1828,Boie F,1,2
132,1,ANSERIFORMES,Anatidae,Chenonetta,jubata,AU,False,1801,Latham,1836,von Brandt JF,1,1
133,1,ANSERIFORMES,Anatidae,Nettapus,auritus,AF,False,1783,Boddaert,1836,von Brandt JF,1,3
134,2,ANSERIFORMES,Anatidae,Nettapus,coromandelianus,OR,False,1789,Gmelin JF,1836,von Brandt JF,2,3
135,3,ANSERIFORMES,Anatidae,Nettapus,pulchellus,AU,True,1842,Gould,1836,von Brandt JF,3,3
136,1,ANSERIFORMES,Anatidae,Amazonetta,brasiliensis,SA,False,1789,Gmelin JF,1929,von Boetticher,1,1
137,1,ANSERIFORMES,Anatidae,Callonetta,leucophrys,SA,False,1816,Vieillot,1936,Delacour,1,1
138,1,ANSERIFORMES,Anatidae,Lophonetta,specularioides,SA,False,1828,King PP,1914,Riley,1,1
139,1,ANSERIFORMES,Anatidae,Speculanas,specularis,SA,False,1828,King PP,1929,von Boetticher,1,1
140,1,ANSERIFORMES,Anatidae,Sibirionetta,formosa,EU,False,1775,Georgi,1929,von Boetticher,1,1
141,1,ANSERIFORMES,Anatidae,Spatula,querquedula,EU,False,1758,Linnaeus,1822,Boie,1,10
142,2,ANSERIFORMES,Anatidae,Spatula,hottentota,AF,False,1838,Eyton,1822,Boie,8,10
143,3,ANSERIFORMES,Anatidae,Spatula,puna,SA,False,1844,Tschudi,1822,Boie,9,10
144,4,ANSERIFORMES,Anatidae,Spatula,versicolor,SA,False,1816,Vieillot,1822,Boie,5,10
145,5,ANSERIFORMES,Anatidae,Spatula,platalea,SA,False,1816,Vieillot,1822,Boie,5,10
146,6,ANSERIFORMES,Anatidae,Spatula,cyanoptera,NA MA SA,False,1816,Vieillot,1822,Boie,5,10
147,7,ANSERIFORMES,Anatidae,Spatula,discors,NA,False,1766,Linnaeus,1822,Boie,3,10
148,8,ANSERIFORMES,Anatidae,Spatula,smithii,AF,True,1891,Hartert,1822,Boie,10,10
149,9,ANSERIFORMES,Anatidae,Spatula,rhynchotis,AU,False,1801,Latham,1822,Boie,4,10
150,10,ANSERIFORMES,Anatidae,Spatula,clypeata,NA EU,False,1758,Linnaeus,1822,Boie,1,10
151,1,ANSERIFORMES,Anatidae,Mareca,strepera,NA EU,False,1758,Linnaeus,1824,Stephens,1,6
152,2,ANSERIFORMES,Anatidae,Mareca,falcata,EU,False,1775,Georgi,1824,Stephens,3,6
153,3,ANSERIFORMES,Anatidae,Mareca,penelope,EU,False,1758,Linnaeus,1824,Stephens,1,6
154,4,ANSERIFORMES,Anatidae,Mareca,sibilatrix,SA,False,1829,Poeppig,1824,Stephens,5,6
155,5,ANSERIFORMES,Anatidae,Mareca,americana,NA,False,1789,Gmelin JF,1824,Stephens,4,6
156,6,ANSERIFORMES,Anatidae,Mareca,marecula,IO,False,1996,Olson Jouventin,1824,Stephens,6,6
157,1,ANSERIFORMES,Anatidae,Anas,sparsa,AF,True,1838,Eyton,1758,Linnaeus,12,32
158,2,ANSERIFORMES,Anatidae,Anas,undulata,AF,True,1838,Dubois CF,1758,Linnaeus,12,32
159,3,ANSERIFORMES,Anatidae,Anas,melleri,AF,True,1865,Sclater PL,1758,Linnaeus,20,32
160,4,ANSERIFORMES,Anatidae,Anas,superciliosa,AU,True,1789,Gmelin JF,1758,Linnaeus,6,32
161,5,ANSERIFORMES,Anatidae,Anas,laysanensis,PO,True,1892,Rothschild,1758,Linnaeus,29,32
162,6,ANSERIFORMES,Anatidae,Anas,wyvilliana,PO,True,1878,Sclater PL,1758,Linnaeus,27,32
163,7,ANSERIFORMES,Anatidae,Anas,luzonica,OR,True,1839,Fraser,1758,Linnaeus,15,32
164,8,ANSERIFORMES,Anatidae,Anas,poecilorhyncha,OR,True,1781,Forster JR,1758,Linnaeus,5,32
165,9,ANSERIFORMES,Anatidae,Anas,zonorhyncha,OR,True,1866,Swinhoe,1758,Linnaeus,21,32
166,10,ANSERIFORMES,Anatidae,Anas,platyrhynchos,NA EU,True,1758,Linnaeus,1758,Linnaeus,1,32
167,11,ANSERIFORMES,Anatidae,Anas,fulvigula,NA,True,1874,Ridgway,1758,Linnaeus,25,32
168,12,ANSERIFORMES,Anatidae,Anas,rubripes,NA,True,1902,Brewster,1758,Linnaeus,31,32
169,13,ANSERIFORMES,Anatidae,Anas,diazi,NA MA,True,1886,Ridgway,1758,Linnaeus,28,32
170,14,ANSERIFORMES,Anatidae,Anas,capensis,AF,True,1789,Gmelin JF,1758,Linnaeus,6,32
171,15,ANSERIFORMES,Anatidae,Anas,bahamensis,SA NA,True,1758,Linnaeus,1758,Linnaeus,1,32
172,16,ANSERIFORMES,Anatidae,Anas,erythrorhyncha,AF,True,1789,Gmelin JF,1758,Linnaeus,6,32
173,17,ANSERIFORMES,Anatidae,Anas,georgica,SA,True,1789,Gmelin JF,1758,Linnaeus,6,32
174,18,ANSERIFORMES,Anatidae,Anas,eatoni,IO,False,1875,Sharpe,1758,Linnaeus,26,32
175,19,ANSERIFORMES,Anatidae,Anas,acuta,NA EU,True,1758,Linnaeus,1758,Linnaeus,1,32
176,20,ANSERIFORMES,Anatidae,Anas,crecca,EU NA,True,1758,Linnaeus,1758,Linnaeus,1,32
177,21,ANSERIFORMES,Anatidae,Anas,carolinensis,NA,True,1789,Gmelin JF,1758,Linnaeus,6,32
178,22,ANSERIFORMES,Anatidae,Anas,flavirostris,SA,True,1816,Vieillot,1758,Linnaeus,11,32
179,23,ANSERIFORMES,Anatidae,Anas,andium,SA,False,1873,Sclater PL Salvin,1758,Linnaeus,23,32
180,24,ANSERIFORMES,Anatidae,Anas,gibberifrons,OR,True,1842,Müller S,1758,Linnaeus,16,32
181,25,ANSERIFORMES,Anatidae,Anas,albogularis,OR,False,1873,Hume,1758,Linnaeus,23,32
182,26,ANSERIFORMES,Anatidae,Anas,theodori,IO,True,1893,Newton E Gadow,1758,Linnaeus,30,32
183,27,ANSERIFORMES,Anatidae,Anas,gracilis,AU,True,1869,Buller,1758,Linnaeus,22,32
184,28,ANSERIFORMES,Anatidae,Anas,castanea,AU,False,1838,Eyton,1758,Linnaeus,12,32
185,29,ANSERIFORMES,Anatidae,Anas,bernieri,AF,False,1860,Hartlaub,1758,Linnaeus,19,32
186,30,ANSERIFORMES,Anatidae,Anas,chlorotis,AU,True,1845,Gray GR,1758,Linnaeus,18,32
187,31,ANSERIFORMES,Anatidae,Anas,aucklandica,AU,False,1844,Gray GR,1758,Linnaeus,17,32
188,32,ANSERIFORMES,Anatidae,Anas,nesiotis,AU,False,1935,Fleming JH,1758,Linnaeus,32,32
189,1,ANSERIFORMES,Anatidae,Marmaronetta,angustirostris,EU,False,1832,Ménétries,1853,Reichenbach,1,1
190,1,ANSERIFORMES,Anatidae,Rhodonessa,caryophyllacea,OR,False,1790,Latham,1853,Reichenbach,1,1
191,1,ANSERIFORMES,Anatidae,Netta,rufina,EU,False,1773,Pallas,1829,Kaup,1,3
192,2,ANSERIFORMES,Anatidae,Netta,peposaca,SA,False,1816,Vieillot,1829,Kaup,2,3
193,3,ANSERIFORMES,Anatidae,Netta,erythrophthalma,AF SA,False,1833,zu Wied-Neuwied,1829,Kaup,3,3
194,1,ANSERIFORMES,Anatidae,Aythya,valisineria,NA,False,1814,Wilson A,1822,Boie F,7,12
195,2,ANSERIFORMES,Anatidae,Aythya,americana,NA,False,1838,Eyton,1822,Boie F,8,12
196,3,ANSERIFORMES,Anatidae,Aythya,ferina,EU,False,1758,Linnaeus,1822,Boie F,1,12
197,4,ANSERIFORMES,Anatidae,Aythya,australis,AU,False,1838,Eyton,1822,Boie F,8,12
198,5,ANSERIFORMES,Anatidae,Aythya,innotata,AF,False,1894,Salvadori,1822,Boie F,12,12
199,6,ANSERIFORMES,Anatidae,Aythya,baeri,EU,False,1863,Radde,1822,Boie F,11,12
200,7,ANSERIFORMES,Anatidae,Aythya,nyroca,EU,False,1770,Güldenstädt,1822,Boie F,4,12
201,8,ANSERIFORMES,Anatidae,Aythya,novaeseelandiae,AU,False,1789,Gmelin JF,1822,Boie F,5,12
202,9,ANSERIFORMES,Anatidae,Aythya,collaris,NA,False,1809,Donovan,1822,Boie F,6,12
203,10,ANSERIFORMES,Anatidae,Aythya,fuligula,EU,False,1758,Linnaeus,1822,Boie F,1,12
204,11,ANSERIFORMES,Anatidae,Aythya,marila,NA EU,False,1761,Linnaeus,1822,Boie F,3,12
205,12,ANSERIFORMES,Anatidae,Aythya,affinis,NA,False,1838,Eyton,1822,Boie F,8,12
206,1,ANSERIFORMES,Anatidae,Polysticta,stelleri,NA EU,False,1769,Pallas,1836,Eyton,1,1
207,1,ANSERIFORMES,Anatidae,Somateria,fischeri,NA EU,False,1847,von Brandt JF,1819,Leach,3,3
208,2,ANSERIFORMES,Anatidae,Somateria,spectabilis,NA EU,False,1758,Linnaeus,1819,Leach,1,3
209,3,ANSERIFORMES,Anatidae,Somateria,mollissima,NA EU,False,1758,Linnaeus,1819,Leach,1,3
210,1,ANSERIFORMES,Anatidae,Histrionicus,histrionicus,NA EU,False,1758,Linnaeus,1828,Lesson R,1,1
211,1,ANSERIFORMES,Anatidae,Camptorhynchus,labradorius,NA,False,1789,Gmelin JF,1838,Bonaparte,1,1
212,1,ANSERIFORMES,Anatidae,Melanitta,perspicillata,NA,False,1758,Linnaeus,1822,Boie F,1,5
213,2,ANSERIFORMES,Anatidae,Melanitta,fusca,EU,False,1758,Linnaeus,1822,Boie F,1,5
214,3,ANSERIFORMES,Anatidae,Melanitta,deglandi,EU NA,False,1850,Bonaparte,1822,Boie F,5,5
215,4,ANSERIFORMES,Anatidae,Melanitta,nigra,EU,False,1758,Linnaeus,1822,Boie F,1,5
216,5,ANSERIFORMES,Anatidae,Melanitta,americana,EU NA,False,1832,Swainson,1822,Boie F,4,5
217,1,ANSERIFORMES,Anatidae,Clangula,hyemalis,NA EU,False,1758,Linnaeus,1819,Leach,1,1
218,1,ANSERIFORMES,Anatidae,Bucephala,albeola,NA,False,1758,Linnaeus,1858,Baird SF,1,3
219,2,ANSERIFORMES,Anatidae,Bucephala,clangula,NA EU,False,1758,Linnaeus,1858,Baird SF,1,3
220,3,ANSERIFORMES,Anatidae,Bucephala,islandica,NA EU,False,1789,Gmelin JF,1858,Baird SF,3,3
221,1,ANSERIFORMES,Anatidae,Mergellus,albellus,EU,False,1758,Linnaeus,1840,Selby,1,1
222,1,ANSERIFORMES,Anatidae,Lophodytes,cucullatus,NA,False,1758,Linnaeus,1853,Reichenbach,1,1
223,1,ANSERIFORMES,Anatidae,Mergus,australis,AU,True,1841,Hombron Jacquinot,1758,Linnaeus,4,5
224,2,ANSERIFORMES,Anatidae,Mergus,octosetaceus,SA,True,1817,Vieillot,1758,Linnaeus,3,5
225,3,ANSERIFORMES,Anatidae,Mergus,merganser,NA EU,True,1758,Linnaeus,1758,Linnaeus,1,5
226,4,ANSERIFORMES,Anatidae,Mergus,serrator,NA EU,True,1758,Linnaeus,1758,Linnaeus,1,5
227,5,ANSERIFORMES,Anatidae,Mergus,squamatus,EU,True,1864,Gould,1758,Linnaeus,5,5
228,1,ANSERIFORMES,Anatidae,Heteronetta,atricapilla,SA,False,1841,Merrem,1865,Salvadori,1,1
229,1,ANSERIFORMES,Anatidae,Nomonyx,dominicus,MA SA,False,1766,Linnaeus,1880,Ridgway,1,1
230,1,ANSERIFORMES,Anatidae,Oxyura,jamaicensis,NA MA,False,1789,Gmelin JF,1828,Bonaparte,2,6
231,2,ANSERIFORMES,Anatidae,Oxyura,ferruginea,SA,False,1838,Eyton,1828,Bonaparte,4,6
232,3,ANSERIFORMES,Anatidae,Oxyura,vittata,SA,False,1860,Philippi,1828,Bonaparte,6,6
233,4,ANSERIFORMES,Anatidae,Oxyura,australis,AU,True,1837,Gould,1828,Bonaparte,3,6
